scenario_name,scenario_var,model_ver,Code,Long.Name,survival
gelatinous zooplankton increase,0_8,3,SAF,Strait of Georgia salmonids,0.18287494431490556
gelatinous zooplankton increase,0_8,3,SAL,Other salmonids,0.6314615792583465
gelatinous zooplankton increase,0_8,4,CDS,Chinook Duwamish Subyearling,0.18650115341629653
gelatinous zooplankton increase,0_8,4,CHC,Chinook Hood Canal Subyearling,9.925779305290984e-5
gelatinous zooplankton increase,0_8,4,CHS,Chinook Hatch Subyearling,0.2395591864214367
gelatinous zooplankton increase,0_8,4,CHY,Chinook Hatch Yearling,0.23531349652436057
gelatinous zooplankton increase,0_8,4,CKS,Chinook other Subyearling,0.25285571038899785
gelatinous zooplankton increase,0_8,4,CMF,Chum Fall Subyearling,0.4637146630185864
gelatinous zooplankton increase,0_8,4,CMH,Chum Hood Canal summer run Subyearling,0.4994135612411165
gelatinous zooplankton increase,0_8,4,CMS,Chum Hatch Subyearling,0.7105680633070489
gelatinous zooplankton increase,0_8,4,CNS,Chinook Nisqually Subyearling,0.2855771725681906
gelatinous zooplankton increase,0_8,4,CNY,Chinook Nisqually Yearling,0.07320936179237397
gelatinous zooplankton increase,0_8,4,COD,Coho Deep South Yearling,0.19333177571403867
gelatinous zooplankton increase,0_8,4,COH,Coho Hatch Yearling,0.2637063820371051
gelatinous zooplankton increase,0_8,4,COS,Coho Skagit Yearling,0.4933192927304092
gelatinous zooplankton increase,0_8,4,COY,Coho other Yearling,0.6586150070645024
gelatinous zooplankton increase,0_8,4,CSN,Chinook Snohomish Subyearling,0.08051770414950696
gelatinous zooplankton increase,0_8,4,CSS,Chinook Skagit Subyearling,0.007230391008244187
gelatinous zooplankton increase,0_8,4,CSY,Chinook Skagit Yearling,0.13998198521919625
gelatinous zooplankton increase,0_8,4,CYE,Chinook other Yearling,0.20782340048520792
gelatinous zooplankton increase,0_8,4,PIS,Pink Salmon Subyearling,0.79931537387362
gelatinous zooplankton increase,0_8,4,SAF,Strait of Georgia salmonids,0.1828845791779713
gelatinous zooplankton increase,0_8,4,SAL,Other salmonids,0.6233399584727796
gelatinous zooplankton increase,0_8,5,CDS,Chinook Duwamish Subyearling,0.15810991485226517
gelatinous zooplankton increase,0_8,5,CHC,Chinook Hood Canal Subyearling,1.4233632940764945e-4
gelatinous zooplankton increase,0_8,5,CHS,Chinook Hatch Subyearling,0.2688348448247952
gelatinous zooplankton increase,0_8,5,CHY,Chinook Hatch Yearling,0.2904107588817382
gelatinous zooplankton increase,0_8,5,CKS,Chinook other Subyearling,0.28347596858861807
gelatinous zooplankton increase,0_8,5,CMF,Chum Fall Subyearling,0.7329145218880666
gelatinous zooplankton increase,0_8,5,CMH,Chum Hood Canal summer run Subyearling,0.6028734110131442
gelatinous zooplankton increase,0_8,5,CMS,Chum Hatch Subyearling,0.7325119586817064
gelatinous zooplankton increase,0_8,5,CNS,Chinook Nisqually Subyearling,1.4583447897029007e-4
gelatinous zooplankton increase,0_8,5,CNY,Chinook Nisqually Yearling,0.0629191069569575
gelatinous zooplankton increase,0_8,5,COD,Coho Deep South Yearling,0.1926970153878835
gelatinous zooplankton increase,0_8,5,COH,Coho Hatch Yearling,0.25809641029952496
gelatinous zooplankton increase,0_8,5,COS,Coho Skagit Yearling,0.4985377419259118
gelatinous zooplankton increase,0_8,5,COY,Coho other Yearling,0.6528130625469227
gelatinous zooplankton increase,0_8,5,CSN,Chinook Snohomish Subyearling,0.08775162332295829
gelatinous zooplankton increase,0_8,5,CSS,Chinook Skagit Subyearling,0.0067944440251852985
gelatinous zooplankton increase,0_8,5,CSY,Chinook Skagit Yearling,0.14156036931612317
gelatinous zooplankton increase,0_8,5,CYE,Chinook other Yearling,0.2216863636211459
gelatinous zooplankton increase,0_8,5,PIS,Pink Salmon Subyearling,0.79039404113129
gelatinous zooplankton increase,0_8,5,SAF,Strait of Georgia salmonids,0.1911587678334107
gelatinous zooplankton increase,0_8,5,SAL,Other salmonids,0.6318479519008608
gelatinous zooplankton increase,0_8,6,CDS,Chinook Duwamish Subyearling,0.09527249958598974
gelatinous zooplankton increase,0_8,6,CHC,Chinook Hood Canal Subyearling,1.9957915160834157e-4
gelatinous zooplankton increase,0_8,6,CHS,Chinook Hatch Subyearling,0.2734823619441491
gelatinous zooplankton increase,0_8,6,CHY,Chinook Hatch Yearling,0.30357845951734536
gelatinous zooplankton increase,0_8,6,CKS,Chinook other Subyearling,0.30851703159546773
gelatinous zooplankton increase,0_8,6,CMF,Chum Fall Subyearling,0.7322617247211827
gelatinous zooplankton increase,0_8,6,CMH,Chum Hood Canal summer run Subyearling,0.6123666515943063
gelatinous zooplankton increase,0_8,6,CMS,Chum Hatch Subyearling,0.7325000007692953
gelatinous zooplankton increase,0_8,6,CNS,Chinook Nisqually Subyearling,2.115667712729628e-5
gelatinous zooplankton increase,0_8,6,CNY,Chinook Nisqually Yearling,0.06100405834952236
gelatinous zooplankton increase,0_8,6,COD,Coho Deep South Yearling,0.1974255073449793
gelatinous zooplankton increase,0_8,6,COH,Coho Hatch Yearling,0.2636112782093445
gelatinous zooplankton increase,0_8,6,COS,Coho Skagit Yearling,0.4835127357126038
gelatinous zooplankton increase,0_8,6,COY,Coho other Yearling,0.649064862566625
gelatinous zooplankton increase,0_8,6,CSN,Chinook Snohomish Subyearling,0.1015809815737544
gelatinous zooplankton increase,0_8,6,CSS,Chinook Skagit Subyearling,0.006944932399555529
gelatinous zooplankton increase,0_8,6,CSY,Chinook Skagit Yearling,0.16603964359551032
gelatinous zooplankton increase,0_8,6,CYE,Chinook other Yearling,0.3013933337376149
gelatinous zooplankton increase,0_8,6,PIS,Pink Salmon Subyearling,0.7653437481184976
gelatinous zooplankton increase,0_8,6,SAF,Strait of Georgia salmonids,0.19149221989084692
gelatinous zooplankton increase,0_8,6,SAL,Other salmonids,0.6489943848591424
gelatinous zooplankton increase,0_8,7,CDS,Chinook Duwamish Subyearling,0.13050865213949983
gelatinous zooplankton increase,0_8,7,CHC,Chinook Hood Canal Subyearling,1.8537974780061545e-5
gelatinous zooplankton increase,0_8,7,CHS,Chinook Hatch Subyearling,0.2398896566710887
gelatinous zooplankton increase,0_8,7,CHY,Chinook Hatch Yearling,0.2051231102764966
gelatinous zooplankton increase,0_8,7,CKS,Chinook other Subyearling,0.2557707368288685
gelatinous zooplankton increase,0_8,7,CMF,Chum Fall Subyearling,0.5301950272800916
gelatinous zooplankton increase,0_8,7,CMH,Chum Hood Canal summer run Subyearling,0.5344270657791208
gelatinous zooplankton increase,0_8,7,CMS,Chum Hatch Subyearling,0.7166092040143721
gelatinous zooplankton increase,0_8,7,CNS,Chinook Nisqually Subyearling,0.1373341890823557
gelatinous zooplankton increase,0_8,7,CNY,Chinook Nisqually Yearling,0.03693040796815881
gelatinous zooplankton increase,0_8,7,COD,Coho Deep South Yearling,0.2098066767697068
gelatinous zooplankton increase,0_8,7,COH,Coho Hatch Yearling,0.27395566208711963
gelatinous zooplankton increase,0_8,7,COS,Coho Skagit Yearling,0.5830071232040105
gelatinous zooplankton increase,0_8,7,COY,Coho other Yearling,0.6564902762406154
gelatinous zooplankton increase,0_8,7,CSN,Chinook Snohomish Subyearling,0.07270663622663151
gelatinous zooplankton increase,0_8,7,CSS,Chinook Skagit Subyearling,0.007155256846774064
gelatinous zooplankton increase,0_8,7,CSY,Chinook Skagit Yearling,0.14188142523725047
gelatinous zooplankton increase,0_8,7,CYE,Chinook other Yearling,0.21120250342385918
gelatinous zooplankton increase,0_8,7,PIS,Pink Salmon Subyearling,0.7763447200436263
gelatinous zooplankton increase,0_8,7,SAF,Strait of Georgia salmonids,0.19751899001145104
gelatinous zooplankton increase,0_8,7,SAL,Other salmonids,0.6383785201151427
gelatinous zooplankton increase,0_8,8,CDS,Chinook Duwamish Subyearling,0.19466047944585416
gelatinous zooplankton increase,0_8,8,CHC,Chinook Hood Canal Subyearling,2.6880610400456837e-4
gelatinous zooplankton increase,0_8,8,CHS,Chinook Hatch Subyearling,0.27370207775300814
gelatinous zooplankton increase,0_8,8,CHY,Chinook Hatch Yearling,0.29591901294707046
gelatinous zooplankton increase,0_8,8,CKS,Chinook other Subyearling,0.30759276984924755
gelatinous zooplankton increase,0_8,8,CMF,Chum Fall Subyearling,0.46315799137693164
gelatinous zooplankton increase,0_8,8,CMH,Chum Hood Canal summer run Subyearling,0.4966997213895084
gelatinous zooplankton increase,0_8,8,CMS,Chum Hatch Subyearling,0.7104855595454912
gelatinous zooplankton increase,0_8,8,CNS,Chinook Nisqually Subyearling,0.8538542909557323
gelatinous zooplankton increase,0_8,8,CNY,Chinook Nisqually Yearling,0.0637289499961398
gelatinous zooplankton increase,0_8,8,COD,Coho Deep South Yearling,0.15604733508187943
gelatinous zooplankton increase,0_8,8,COH,Coho Hatch Yearling,0.2344182154607109
gelatinous zooplankton increase,0_8,8,COS,Coho Skagit Yearling,0.4528765873093497
gelatinous zooplankton increase,0_8,8,COY,Coho other Yearling,0.6464799974793729
gelatinous zooplankton increase,0_8,8,CSN,Chinook Snohomish Subyearling,0.1103004755464182
gelatinous zooplankton increase,0_8,8,CSS,Chinook Skagit Subyearling,0.019069284435661395
gelatinous zooplankton increase,0_8,8,CSY,Chinook Skagit Yearling,0.19837307420771927
gelatinous zooplankton increase,0_8,8,CYE,Chinook other Yearling,0.302888650045805
gelatinous zooplankton increase,0_8,8,PIS,Pink Salmon Subyearling,0.7948673982195392
gelatinous zooplankton increase,0_8,8,SAF,Strait of Georgia salmonids,0.1927373841994602
gelatinous zooplankton increase,0_8,8,SAL,Other salmonids,0.7186995987400209
gelatinous zooplankton increase,1_2,1,CDS,Chinook Duwamish Subyearling,0.17538994700725408
