Predator,Benthic bacteria,Pelagic bacteria,Large phytoplankton,Small phytoplankton,Macroalgae,Seagrass,Microzooplankton,Mesozooplankton,Large zooplankton,Gelatinous zooplankton,Squid,Deep macro-zoobenthos,Deposit feeders,Benthic grazers,Octopi,Dungeness crab,Crabs,Shrimp,Benthic filter feeder,Bivalves,Geoducks,Carnivorous infauna,Pacific Herring Puget Sound,Pacific Herring Cherry Point,Small Planktivorous Fish,Perch,Chinook Hatch Yearling,Chinook Hatch Subyearling,Chinook Skagit Yearling,Chinook Skagit Subyearling,Chinook Snohomish Subyearling,Chinook Duwamish Subyearling,Chinook Nisqually Yearling,Chinook Nisqually Subyearling,Chinook Hood Canal Subyearling,Chinook other Yearling,Chinook other Subyearling,Coho Hatch Yearling,Coho Skagit Yearling,Coho Deep South Yearling,Coho other Yearling,Chum Hatch Subyearling,Chum Fall Subyearling,Chum Hood Canal summer run Subyearling,Pink Salmon Subyearling,Other salmonids,Strait of Georgia salmonids,Hake_Large gadoids,Large demersal predators,Demersal rockfish,Midwater rockfish,Demersal vulnerable rockfish,Midwater vulnerable rockfish,Small demersal fish,Small-mouthed Flatfish,Piscivorous flatfish,Spiny dogfish,Sixgill Shark,Skates,Ratfish,Seabirds (piscivorous),Seabirds (mainly non-piscivorous),Raptors,Harbor seals,California sea lions,Steller sea lions,Harbor porpoise,Resident Orca,Transient Orca,Humpback whales,Labile detritus,Refractory detritus,Carrion
Coho Deep South Yearling,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coho other Yearling,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chum Hatch Subyearling,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chum Fall Subyearling,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chum Hood Canal summer run Subyearling,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pink Salmon Subyearling,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other salmonids,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strait of Georgia salmonids,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hake_Large gadoids,0,0,0,1,1,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Large demersal predators,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
